cpsr_evidence_code	category	pathogenicity_pole	category_long	description	path_score
ACMG_PM1	funcvar	P	Functional - variant effect	Evidence that a variant is located in a mutational hotspot or critical functional domain without benign variation.	2
ACMG_PM1_SUPP	funcvar	P	Functional - variant effect	Supporting evidence that a variant lies in a known functional hotspot or critical domain (supporting strength).	1
ACMG_PM2_SUPP	funcvar	P	Functional - variant effect	Supporting evidence that the variant is absent or extremely rare in population databases (supporting strength).	0
ACMG_BA1	clinpop	B	Clinical - population frequency	Stand-alone evidence that the variant’s allele frequency is too high for a pathogenic classification.	-8
ACMG_BP1	funcvar	B	Functional - variant effect	Supporting evidence that a missense variant occurs in a gene where truncating variants are predominantly known to cause disease.	0
ACMG_BP4	funccomp	B	Functional - computational & predictive	Supporting evidence that multiple computational tools predict a benign effect on the gene or gene product.	-1
ACMG_BP7	funcvar	B	Functional - variant effect	Supporting evidence that a silent (synonymous) variant has no predicted impact on splicing or gene function.	-1
ACMG_BS1	clinpop	B	Clinical - population frequency	Strong evidence that the variant’s allele frequency is greater than expected for a disorder.	-4
ACMG_BS1_SUPP	clinpop	B	Clinical - population frequency	Supporting evidence that the variant’s frequency is slightly higher than expected for a pathogenic variant.	-1
ACMG_PVS1	funcvar	P	Functional - variant effect	Very strong evidence that a null (loss-of-function) variant occurs in a gene where loss of function is a known disease mechanism.	8
ACMG_PVS1_STR	funcvar	P	Functional - variant effect	Strong evidence for a predicted loss-of-function variant (reduced strength from PVS1).	4
ACMG_PVS1_MOD	funcvar	P	Functional - variant effect	Moderate evidence for a predicted loss-of-function variant (further reduced strength from PVS1).	2
ACMG_PS1	funcvar	P	Functional - variant effect	Strong evidence that the variant causes the same amino acid change as a previously established pathogenic variant but via a different nucleotide change.	4
ACMG_PP3	funccomp	P	Functional - computational & predictive	Supporting evidence that multiple computational tools predict a deleterious effect on the gene or gene product.	1
ACMG_PM5	funcvar	P	Functional - variant effect	Evidence that the variant causes a novel amino acid change at a residue where another pathogenic missense change has been seen.	2
ACMG_PM4	funcvar	P	Functional - variant effect	Evidence that the variant results in protein length changes due to in-frame deletions/insertions in a non-repeat region or stop-loss.	0
ACMG_PP2	funcvar	P	Functional - variant effect	Supporting evidence that a missense variant occurs in a gene with low benign missense variation and where missense variants are a common disease mechanism.	0
