symbol	id
ABCB11	NM_003742.4
ABCD1	NM_000033.4
ABL1	NM_005157.6
ABL2	NM_007314.4
ABRAXAS1	NM_139076.3
ACD	NM_001082486.2
ACTA2	NM_001613.4
ACTC1	NM_005159.5
ACTRT1	NM_138289.4
ACVRL1	NM_000020.3
ADA	NM_000022.4
ADM	NM_001124.3
AIP	NM_003977.4
AKT1	NM_001382430.1
ALK	NM_004304.5
ALKBH2	NM_001145374.2
ALKBH3	NM_139178.4
AMER1	NM_152424.4
ANKRD26	NM_014915.3
APC	NM_000038.6
APEX1	NM_001641.4
APEX2	NM_014481.4
APLF	NM_173545.3
APOB	NM_000384.3
APTX	NM_001195248.2
AR	NM_000044.6
ARHGEF12	NM_015313.3
ARID1A	NM_006015.6
ARID2	NM_152641.4
ARID5B	NM_032199.3
ARMC5	NM_001105247.2
ASXL1	NM_015338.6
ATG12	NM_004707.4
ATM	NM_000051.4
ATP7B	NM_000053.4
ATR	NM_001184.4
ATRIP	NM_130384.3
ATRX	NM_000489.6
AXIN1	NM_003502.4
AXIN2	NM_004655.4
BAG3	NM_004281.4
BAP1	NM_004656.4
BARD1	NM_000465.4
BCL10	NM_003921.5
BCR	NM_004327.4
BIK	NM_001197.5
BLM	NM_000057.4
BMPR1A	NM_004329.3
BRAF	NM_001374258.1
BRAF	NM_004333.6
BRCA1	NM_007294.4
BRCA1	NM_007300.4
BRCA2	NM_000059.4
BRIP1	NM_032043.3
BTD	NM_001370658.1
BTK	NM_000061.3
BUB1	NM_004336.5
BUB1B	NM_001211.6
BUB3	NM_004725.4
CACNA1S	NM_000069.3
CALM1	NM_006888.6
CALM2	NM_001743.6
CALM3	NM_005184.4
CAMTA1	NM_015215.4
CASP8	NM_001372051.1
CASQ2	NM_001232.4
CASR	NM_000388.4
CBFA2T3	NM_005187.6
CBL	NM_005188.4
CCNH	NM_001239.4
CDC73	NM_024529.5
CDH1	NM_004360.5
CDH11	NM_001797.4
CDK12	NM_016507.4
CDK4	NM_000075.4
CDK7	NM_001799.4
CDKN1A	NM_000389.5
CDKN1B	NM_004064.5
CDKN1C	NM_001122630.2
CDKN2A	NM_000077.5
CDKN2A	NM_058195.4
CDKN2B	NM_004936.4
CDKN2C	NM_078626.3
CEBPA	NM_004364.5
CEBPE	NM_001805.4
CEP57	NM_014679.5
CETN2	NM_004344.3
CHAF1A	NM_005483.3
CHD1L	NM_004284.6
CHEK1	NM_001114122.3
CHEK2	NM_007194.4
CIB1	NM_006384.4
CLK2	NM_001294338.2
CMTR2	NM_018348.6
COL3A1	NM_000090.4
COL7A1	NM_000094.4
CPAP	NM_018451.5
CREBBP	NM_004380.3
CSDE1	NM_001007553.3
CSF3R	NM_000760.4
CTC1	NM_025099.6
CTNNA1	NM_001903.5
CTNNB1	NM_001904.4
CTR9	NM_014633.5
CTRC	NM_007272.3
CYLD	NM_001378743.1
CYP27A1	NM_000784.4
DCLRE1A	NM_014881.5
DCLRE1B	NM_022836.4
DCLRE1C	NM_001033855.3
DDB1	NM_001923.5
DDB2	NM_000107.3
DDX11	NM_030653.4
DDX41	NM_016222.4
DES	NM_001927.4
DGCR8	NM_022720.7
DHX34	NM_014681.6
DICER1	NM_177438.3
DIRAS3	NM_004675.5
DIS3	NM_014953.5
DIS3L	NM_001143688.3
DIS3L2	NM_152383.5
DKC1	NM_001363.5
DMC1	NM_007068.4
DNAH9	NM_001372.4
DNAJC21	NM_001012339.3
DOCK8	NM_203447.4
DPYD	NM_000110.4
DROSHA	NM_001382508.1
DSC2	NM_024422.6
DSG2	NM_001943.5
DSP	NM_004415.4
DTX3L	NM_138287.3
DUT	NM_001025248.2
EGFR	NM_005228.5
EGLN1	NM_022051.3
EGLN2	NM_080732.4
ELAC2	NM_018127.7
ELANE	NM_001972.4
ELOC	NM_005648.4
ELP1	NM_003640.5
EME1	NM_152463.4
EME2	NM_001257370.2
ENDOV	NM_173627.5
ENG	NM_001114753.3
EP300	NM_001429.4
EPAS1	NM_001430.5
EPCAM	NM_002354.3
ERBB2	NM_004448.4
ERCC1	NM_001983.4
ERCC2	NM_000400.4
ERCC3	NM_000122.2
ERCC4	NM_005236.3
ERCC5	NM_000123.4
ERCC6	NM_000124.4
ERCC6	NM_001277058.2
ERCC6L2	NM_020207.7
ERCC8	NM_000082.4
ERG	NM_182918.4
ESR1	NM_000125.4
ETV6	NM_001987.5
EXO1	NM_130398.4
EXT1	NM_000127.3
EXT2	NM_207122.2
EZH2	NM_004456.5
FAAP20	NM_182533.4
FAAP24	NM_152266.5
FAH	NM_000137.4
FAM111A	NM_001312909.2
FAN1	NM_014967.5
FANCA	NM_000135.4
FANCB	NM_001018113.3
FANCC	NM_000136.3
FANCD2	NM_001018115.3
FANCE	NM_021922.3
FANCF	NM_022725.4
FANCG	NM_004629.2
FANCI	NM_001113378.2
FANCL	NM_018062.4
FANCM	NM_020937.4
FAS	NM_000043.6
FBN1	NM_000138.5
FBXW7	NM_001349798.2
FEN1	NM_004111.6
FGF23	NM_020638.3
FGFR1	NM_023110.3
FGFR2	NM_000141.5
FGFR2	NM_022970.4
FGFR3	NM_000142.5
FH	NM_000143.4
FHIT	NM_002012.4
FLCN	NM_144997.7
FLNC	NM_001458.5
FLT3	NM_004119.3
FMR1	NM_002024.6
FOXE1	NM_004473.4
FOXO1	NM_002015.4
FOXO3	NM_001455.4
FOXO4	NM_005938.4
FOXP1	NM_001349338.3
G6PC1	NM_000151.4
GAA	NM_000152.5
GALNT12	NM_024642.5
GALNT3	NM_004482.4
GATA1	NM_002049.4
GATA2	NM_001145661.2
GATA2	NM_032638.5
GATA3	NM_001002295.2
GBA1	NM_000157.4
GDNF	NM_000514.4
GEN1	NM_001130009.3
GLA	NM_000169.3
