symbol	entrezgene	cgc86	ncgc_haukeland	tcga_pancan_2018	predisp_syndrome_cui	predisp_cancer_cui	lof_known_moi	predisp_cancer_moi	p_oncogene	tsgene	predisp_source	n_trunc_path	n_nontrunc_path	n_nontrunc_benign	benign_missense_rate	path_truncation_rate
ALK	238	TRUE	TRUE	TRUE	NA	C0027819	GoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	0	2	4	0.67	0
APC	324	TRUE	TRUE	TRUE	C2713442	NA	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	471	2	3	0.6	1
APOBEC3B	9582	TRUE	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	CGC_86	NA	NA	NA	NA	NA
AR	367	TRUE	FALSE	FALSE	NA	NA	NA	NA	TRUE	TRUE	CGC_86	33	60	0	0	0.35
ATM	472	TRUE	TRUE	TRUE	C0004135	NA	LoF	AD/AR	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	470	3	4	0.57	0.99
ATR	545	TRUE	FALSE	TRUE	C3281203&C0265202	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86	1	3	0	0	0.25
AXIN2	8313	TRUE	TRUE	TRUE	C1837750	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	11	1	3	0.75	0.92
BAP1	8314	TRUE	TRUE	TRUE	CN235077	C3280492	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	47	1	1	0.5	0.98
BARD1	580	TRUE	TRUE	FALSE	NA	NA	LoF	AD	FALSE	TRUE	CGC_86&NCGC	101	0	0	0	1
BLM	641	TRUE	TRUE	TRUE	C0005859	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	47	5	0	0	0.9
BMPR1A	657	TRUE	TRUE	TRUE	C0345893	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	65	5	1	0.17	0.93
BRCA1	672	TRUE	TRUE	TRUE	C0677776	NA	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	2408	49	89	0.64	0.98
BRCA2	675	TRUE	TRUE	TRUE	C0677776&C1838457	NA	LoF	AD/AR	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	2945	27	86	0.76	0.99
BRIP1	83990	TRUE	TRUE	TRUE	C1836860	NA	LoF	AD/AR	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	123	0	1	1	1
BUB1B	701	TRUE	TRUE	TRUE	C1850343	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	7	0	6	1	1
CDC73	79577	TRUE	TRUE	TRUE	C1704981	NA	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	18	3	0	0	0.86
CDH1	999	TRUE	TRUE	TRUE	C1708349	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	88	4	0	0	0.96
CDH10	1008	TRUE	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	CGC_86	NA	NA	NA	NA	NA
CDK4	1019	TRUE	TRUE	TRUE	NA	C1512419&C1836892	GoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	0	1	0	0	0
CDKN1B	1027	TRUE	TRUE	TRUE	NA	C1970712	LoF	AD/AR	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	6	1	1	0.5	0.86
CDKN2A	1029	TRUE	TRUE	TRUE	NA	C1512419	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	25	8	3	0.27	0.76
CHEK2	11200	TRUE	TRUE	TRUE	NA	C0346153	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	123	0	0	0	1
CXCR4	7852	TRUE	FALSE	FALSE	NA	NA	NA	NA	TRUE	TRUE	CGC_86	4	0	0	0	1
CYLD	1540	TRUE	TRUE	TRUE	C1857941	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	23	2	0	0	0.92
DDB2	1643	TRUE	TRUE	TRUE	C1848411	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	1	3	0	0	0.25
DICER1	23405	TRUE	TRUE	TRUE	C3839822	C1266144	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018&CGC_86&NCGC	165	4	0	0	0.98
EGFR	1956	TRUE	TRUE	TRUE	NA	NA	GoF	AD	TRUE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	0	4	0	0	0
ERBB4	2066	TRUE	FALSE	FALSE	NA	NA	NA	NA	TRUE	TRUE	CGC_86	0	2	0	0	0
ERCC2	2068	TRUE	TRUE	TRUE	C0268138	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	2	12	2	0.14	0.14
ERCC3	2071	TRUE	TRUE	TRUE	C0268136	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	3	2	0	0	0.6
ERCC4	2072	TRUE	TRUE	TRUE	C0268140&C3808988	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	5	4	0	0	0.56
ERCC5	2073	TRUE	TRUE	TRUE	C0268141	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	8	5	1	0.17	0.62
EXT1	2131	TRUE	TRUE	TRUE	NA	C0008479	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	33	7	0	0	0.82
EXT2	2132	TRUE	TRUE	TRUE	NA	C1851413	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	22	1	0	0	0.96
FANCA	2175	TRUE	TRUE	TRUE	C3469521	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	51	1	3	0.75	0.98
FANCC	2176	TRUE	TRUE	TRUE	C3468041	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	15	2	0	0	0.88
FANCD2	2177	TRUE	TRUE	TRUE	C3160738	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	3	3	4	0.57	0.5
FANCE	2178	TRUE	TRUE	TRUE	C3160739	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	2	0	3	1	1
FANCF	2188	TRUE	TRUE	TRUE	C3469526	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	4	0	2	1	1
FANCG	2189	TRUE	TRUE	TRUE	C3469527	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	11	0	1	1	1
FAT1	2195	TRUE	FALSE	FALSE	NA	NA	NA	NA	FALSE	TRUE	CGC_86	NA	NA	NA	NA	NA
FEN1	2237	TRUE	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	CGC_86	NA	NA	NA	NA	NA
FH	2271	TRUE	TRUE	TRUE	C1708350	NA	LoF	AD/AR	FALSE	FALSE	TCGA_PANCAN_2018&CGC_86&NCGC	73	9	0	0	0.89
